2018-01-20 18:48:01.845  SQLDBhelper: 执行SQL出错：SQL：SELECT w2.n, w1.* FROM fileinfo w1, (SELECT TOP 20 row_number() OVER (ORDER BY keyid) n, keyid FROM fileinfo where dirid= ) w2 WHERE w1.keyid = w2.keyid AND w2.n > 0  ORDER BY w2.n ASC 
2018-01-20 18:50:52.047  SQLDBhelper: 执行SQL出错：SQL：SELECT w2.n, w1.* FROM fileinfo w1, (SELECT TOP 20 row_number() OVER (ORDER BY keyid) n, keyid FROM fileinfo where dirid= ) w2 WHERE w1.keyid = w2.keyid AND w2.n > 0  ORDER BY w2.n ASC 
2018-01-20 18:51:02.597  SQLDBhelper: 执行SQL出错：SQL：SELECT w2.n, w1.* FROM fileinfo w1, (SELECT TOP 20 row_number() OVER (ORDER BY keyid) n, keyid FROM fileinfo where dirid= ) w2 WHERE w1.keyid = w2.keyid AND w2.n > 0  ORDER BY w2.n ASC 
2018-01-20 18:57:09.765  SQLDBhelper: 执行SQL出错：SQL：SELECT w2.n, w1.* FROM fileinfo w1, (SELECT TOP 20 row_number() OVER (ORDER BY keyid) n, keyid FROM fileinfo where dirid= ) w2 WHERE w1.keyid = w2.keyid AND w2.n > 0  ORDER BY w2.n ASC 
2018-01-20 18:57:11.358  SQLDBhelper: 执行SQL出错：SQL：SELECT w2.n, w1.* FROM fileinfo w1, (SELECT TOP 20 row_number() OVER (ORDER BY keyid) n, keyid FROM fileinfo where dirid= ) w2 WHERE w1.keyid = w2.keyid AND w2.n > 0  ORDER BY w2.n ASC 
2018-01-20 18:57:14.599  SQLDBhelper: 执行SQL出错：SQL：SELECT w2.n, w1.* FROM fileinfo w1, (SELECT TOP 20 row_number() OVER (ORDER BY keyid) n, keyid FROM fileinfo where dirid= ) w2 WHERE w1.keyid = w2.keyid AND w2.n > 0  ORDER BY w2.n ASC 
2018-01-20 18:57:16.650  SQLDBhelper: 执行SQL出错：SQL：SELECT w2.n, w1.* FROM fileinfo w1, (SELECT TOP 20 row_number() OVER (ORDER BY keyid) n, keyid FROM fileinfo where dirid= ) w2 WHERE w1.keyid = w2.keyid AND w2.n > 0  ORDER BY w2.n ASC 
2018-01-20 18:58:32.395  SQLDBhelper: 执行SQL出错：SQL：SELECT w2.n, w1.* FROM fileinfo w1, (SELECT TOP 20 row_number() OVER (ORDER BY keyid) n, keyid FROM fileinfo where dirid= ) w2 WHERE w1.keyid = w2.keyid AND w2.n > 0  ORDER BY w2.n ASC 
2018-01-20 18:59:52.402  SQLDBhelper: 执行SQL出错：SQL：SELECT w2.n, w1.* FROM fileinfo w1, (SELECT TOP 20 row_number() OVER (ORDER BY keyid) n, keyid FROM fileinfo where dirid= ) w2 WHERE w1.keyid = w2.keyid AND w2.n > 0  ORDER BY w2.n ASC 
2018-01-20 19:11:19.995  SQLDBhelper: 执行SQL出错：SQL：SELECT w2.n, w1.* FROM fileinfo w1, (SELECT TOP 20 row_number() OVER (ORDER BY keyid) n, keyid FROM fileinfo where dirid= ) w2 WHERE w1.keyid = w2.keyid AND w2.n > 0  ORDER BY w2.n ASC 
2018-01-20 19:11:34.572  SQLDBhelper: 执行SQL出错：SQL：SELECT w2.n, w1.* FROM fileinfo w1, (SELECT TOP 20 row_number() OVER (ORDER BY keyid) n, keyid FROM fileinfo where dirid= ) w2 WHERE w1.keyid = w2.keyid AND w2.n > 0  ORDER BY w2.n ASC 
2018-01-20 19:11:44.017  SQLDBhelper: 执行SQL出错：SQL：SELECT w2.n, w1.* FROM fileinfo w1, (SELECT TOP 20 row_number() OVER (ORDER BY keyid) n, keyid FROM fileinfo where dirid= ) w2 WHERE w1.keyid = w2.keyid AND w2.n > 0  ORDER BY w2.n ASC 
2018-01-20 19:13:17.216  SQLDBhelper: 执行SQL出错：SQL：SELECT w2.n, w1.* FROM fileinfo w1, (SELECT TOP 20 row_number() OVER (ORDER BY keyid) n, keyid FROM fileinfo where dirid= ) w2 WHERE w1.keyid = w2.keyid AND w2.n > 0  ORDER BY w2.n ASC 
2018-01-20 19:15:20.202  SQLDBhelper: 执行SQL出错：SQL：SELECT w2.n, w1.* FROM fileinfo w1, (SELECT TOP 20 row_number() OVER (ORDER BY keyid) n, keyid FROM fileinfo where dirid= ) w2 WHERE w1.keyid = w2.keyid AND w2.n > 0  ORDER BY w2.n ASC 
2018-01-20 19:15:24.181  SQLDBhelper: 执行SQL出错：SQL：SELECT w2.n, w1.* FROM fileinfo w1, (SELECT TOP 20 row_number() OVER (ORDER BY keyid) n, keyid FROM fileinfo where dirid= ) w2 WHERE w1.keyid = w2.keyid AND w2.n > 0  ORDER BY w2.n ASC 
2018-01-20 19:15:26.657  SQLDBhelper: 执行SQL出错：SQL：SELECT w2.n, w1.* FROM fileinfo w1, (SELECT TOP 20 row_number() OVER (ORDER BY keyid) n, keyid FROM fileinfo where dirid= ) w2 WHERE w1.keyid = w2.keyid AND w2.n > 0  ORDER BY w2.n ASC 
2018-01-20 19:15:28.304  SQLDBhelper: 执行SQL出错：SQL：SELECT w2.n, w1.* FROM fileinfo w1, (SELECT TOP 20 row_number() OVER (ORDER BY keyid) n, keyid FROM fileinfo where dirid= ) w2 WHERE w1.keyid = w2.keyid AND w2.n > 0  ORDER BY w2.n ASC 
2018-01-20 19:16:20.521  SQLDBhelper: 执行SQL出错：SQL：SELECT w2.n, w1.* FROM fileinfo w1, (SELECT TOP 20 row_number() OVER (ORDER BY keyid) n, keyid FROM fileinfo where dirid= ) w2 WHERE w1.keyid = w2.keyid AND w2.n > 0  ORDER BY w2.n ASC 
